,beer_causes,meng_causes,meng_min_size,meng_max_size,meng_mean_size,coverage
Arbiter_FINAL_dropped0,2,2,1,1,1.0,100%
genbuf_05_normalised_dropped10,1,0,0,0,0.0,0%
genbuf_05_normalised_dropped107,4,0,0,0,0.0,0%
genbuf_05_normalised_dropped115,1,1,1,1,1.0,100%
genbuf_05_normalised_dropped118,1,1,1,1,1.0,100%
genbuf_05_normalised_dropped122,5,0,0,0,0.0,0%
lift_well_sep_dropped0,2,2,1,1,1.0,100%
lift_well_sep_dropped1,3,3,1,1,1.0,100%
lift_well_sep_dropped10,3,3,1,1,1.0,100%
lift_well_sep_dropped11,4,4,1,1,1.0,100%
lift_well_sep_dropped13,1,1,1,1,1.0,100%
minepump_fixed1_dropped0,2,2,1,1,1.0,100%
minepump_fixed1_dropped1,4,4,1,1,1.0,100%
minepump_fixed1_dropped10,3,3,1,1,1.0,100%
minepump_fixed1_dropped2,3,3,1,1,1.0,100%
minepump_fixed1_dropped4,2,2,1,1,1.0,100%
traffic_single_FINAL_dropped0,5,8,1,2,1.375,100%
traffic_single_FINAL_dropped1,5,8,1,2,1.5,80%
traffic_single_FINAL_dropped10,6,9,1,2,1.3333333333333333,83%
traffic_single_FINAL_dropped11,6,7,1,2,1.4285714285714286,67%
traffic_single_FINAL_dropped2,6,8,1,2,1.375,83%
traffic_updated_FINAL_dropped11,3,9,2,2,2.0,0%
traffic_updated_FINAL_dropped12,2,1,1,1,1.0,50%
traffic_updated_FINAL_dropped3,2,2,1,1,1.0,100%
traffic_updated_FINAL_dropped7,3,9,2,2,2.0,0%
traffic_updated_FINAL_dropped9,1,1,1,1,1.0,100%
