,beer_causes_by_spec,meng_causes_by_spec,meng_max_size
Arbiter_FINAL_dropped0,6,0,0
genbuf_05_normalised_dropped107,0,0,0
genbuf_05_normalised_dropped10,0,0,0
genbuf_05_normalised_dropped115,16,0,0
genbuf_05_normalised_dropped118,2,2,1
genbuf_05_normalised_dropped122,2,0,0
lift_well_sep_dropped0,0,0,0
lift_well_sep_dropped10,3,0,0
lift_well_sep_dropped11,0,0,0
lift_well_sep_dropped13,0,0,0
lift_well_sep_dropped1,0,0,0
minepump_fixed1_dropped0,0,0,0
minepump_fixed1_dropped10,0,0,0
minepump_fixed1_dropped1,0,0,0
minepump_fixed1_dropped2,0,0,0
minepump_fixed1_dropped4,0,0,0
traffic_single_FINAL_dropped0,5,0,0
traffic_single_FINAL_dropped10,4,0,0
traffic_single_FINAL_dropped11,0,0,0
traffic_single_FINAL_dropped1,4,0,0
traffic_single_FINAL_dropped2,2,0,0
traffic_updated_FINAL_dropped11,0,0,0
traffic_updated_FINAL_dropped12,0,0,0
traffic_updated_FINAL_dropped3,0,0,0
traffic_updated_FINAL_dropped7,0,0,0
traffic_updated_FINAL_dropped9,0,0,0
